num_filters1,num_filters2,dropout_rate,learning_rate,batch_size,optimizer,activation,accuracy
20,20,0.25,0.01,128,SGD,relu,81.96
20,20,0.25,0.01,128,Adam,relu,87.14
20,20,0.25,0.05,64,SGD,relu,88.71
20,20,0.25,0.05,64,Adam,relu,10.0
20,20,0.25,0.05,128,SGD,relu,87.94
20,20,0.25,0.05,128,Adam,relu,10.0
20,20,0.25,0.1,64,SGD,relu,88.51
20,20,0.25,0.1,64,Adam,relu,10.0
20,20,0.25,0.1,128,SGD,relu,88.54
20,20,0.25,0.1,128,Adam,relu,10.0
20,20,0.5,0.01,64,SGD,relu,85.05
20,20,0.5,0.01,64,Adam,relu,84.44
20,20,0.5,0.01,128,SGD,relu,82.84
20,20,0.5,0.01,128,Adam,relu,85.95
20,20,0.5,0.05,64,SGD,relu,88.55
20,20,0.5,0.05,64,Adam,relu,10.0
20,20,0.5,0.05,128,SGD,relu,86.02
20,20,0.5,0.05,128,Adam,relu,10.0
20,20,0.5,0.1,64,SGD,relu,88.03
20,20,0.5,0.1,64,Adam,relu,10.0
20,20,0.5,0.1,128,SGD,relu,86.88
20,20,0.5,0.1,128,Adam,relu,10.0
20,20,0.75,0.01,64,SGD,relu,83.83
20,20,0.75,0.01,64,Adam,relu,81.73
20,20,0.75,0.01,128,SGD,relu,81.21
20,20,0.75,0.01,128,Adam,relu,82.99
20,20,0.75,0.05,64,SGD,relu,84.69
20,20,0.75,0.05,64,Adam,relu,10.0
20,20,0.75,0.05,128,SGD,relu,85.75
20,20,0.75,0.05,128,Adam,relu,10.0
20,20,0.75,0.1,64,SGD,relu,84.15
20,20,0.75,0.1,64,Adam,relu,10.0
20,20,0.75,0.1,128,SGD,relu,85.93
20,20,0.75,0.1,128,Adam,relu,10.0
20,40,0.25,0.01,64,SGD,relu,86.7
20,40,0.25,0.01,64,Adam,relu,85.72
20,40,0.25,0.01,128,SGD,relu,84.46
20,40,0.25,0.01,128,Adam,relu,87.78
20,40,0.25,0.05,64,SGD,relu,89.51
20,40,0.25,0.05,64,Adam,relu,10.0
20,40,0.25,0.05,128,SGD,relu,88.36
20,40,0.25,0.05,128,Adam,relu,10.0
20,40,0.25,0.1,64,SGD,relu,89.44
20,40,0.25,0.1,64,Adam,relu,10.0
20,40,0.25,0.1,128,SGD,relu,88.33
20,40,0.25,0.1,128,Adam,relu,10.0
20,40,0.5,0.01,64,SGD,relu,85.74
20,40,0.5,0.01,64,Adam,relu,83.77
20,40,0.5,0.01,128,SGD,relu,83.52
20,40,0.5,0.01,128,Adam,relu,86.31
20,40,0.5,0.05,64,SGD,relu,88.43
20,40,0.5,0.05,64,Adam,relu,10.0
20,40,0.5,0.05,128,SGD,relu,88.16
20,40,0.5,0.05,128,Adam,relu,10.0
20,40,0.5,0.1,64,SGD,relu,88.29
20,40,0.5,0.1,64,Adam,relu,10.0
20,40,0.5,0.1,128,SGD,relu,88.44
20,40,0.5,0.1,128,Adam,relu,10.0
20,40,0.75,0.01,64,SGD,relu,84.94
20,40,0.75,0.01,64,Adam,relu,81.72
20,40,0.75,0.01,128,SGD,relu,81.95
20,40,0.75,0.01,128,Adam,relu,82.82
20,40,0.75,0.05,64,SGD,relu,87.63
20,40,0.75,0.05,64,Adam,relu,10.0
20,40,0.75,0.05,128,SGD,relu,86.49
20,40,0.75,0.05,128,Adam,relu,10.0
20,40,0.75,0.1,64,SGD,relu,86.94
20,40,0.75,0.1,64,Adam,relu,10.0
20,40,0.75,0.1,128,SGD,relu,87.67
20,40,0.75,0.1,128,Adam,relu,10.0
