Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 79.97%, Time: 17.76s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 18.69s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.83%, Time: 20.47s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.72s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 80.94%, Time: 17.99s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 18.88s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.65%, Time: 21.83s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.88%, Time: 21.68s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 83.12%, Time: 18.94s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.84%, Time: 18.67s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.22%, Time: 21.28s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.18s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.27%, Time: 18.68s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 57.33%, Time: 19.68s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.49%, Time: 21.11s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.88s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.21%, Time: 19.28s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 20.47s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.49%, Time: 22.57s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.86%, Time: 22.69s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 80.82%, Time: 19.10s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.24%, Time: 19.56s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.94%, Time: 22.03s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.65s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.59%, Time: 19.65s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.72s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.26%, Time: 22.45s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.35s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.62%, Time: 19.28s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 20.19s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.71%, Time: 22.62s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 82.39%, Time: 22.02s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 78.75%, Time: 19.45s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.03%, Time: 20.05s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.04%, Time: 22.55s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.83s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.46%, Time: 19.54s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.12s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.49%, Time: 22.19s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.62s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.13%, Time: 19.80s
Experiment: Filters1=10, Filters2=20, Dropout=0.75, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 20.03s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.73%, Time: 23.00s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.78%, Time: 22.78s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.74%, Time: 19.39s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.15%, Time: 20.74s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 89.12%, Time: 23.25s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.64s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.12%, Time: 19.79s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.42s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.82%, Time: 22.30s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 24.00s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.70%, Time: 19.03s
Experiment: Filters1=10, Filters2=40, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.63s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.81%, Time: 23.10s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.31%, Time: 23.42s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 83.18%, Time: 19.48s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.60%, Time: 19.54s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.25%, Time: 21.74s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.95s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.52%, Time: 20.16s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 20.67s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.18%, Time: 23.09s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.01s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.93%, Time: 19.47s
Experiment: Filters1=10, Filters2=40, Dropout=0.5, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.32s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 83.80%, Time: 23.00s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 80.54%, Time: 23.83s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.01%, Time: 19.48s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 83.77%, Time: 20.45s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.54%, Time: 21.44s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.99s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.80%, Time: 18.64s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.63s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.36%, Time: 22.47s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.84s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.28%, Time: 19.59s
Experiment: Filters1=10, Filters2=40, Dropout=0.75, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 20.10s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.47%, Time: 22.68s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.57%, Time: 24.03s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.96%, Time: 19.79s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.14%, Time: 20.38s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.71%, Time: 23.02s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.53s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.94%, Time: 20.85s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 20.43s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.51%, Time: 23.01s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.96s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.54%, Time: 20.59s
Experiment: Filters1=20, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.46s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.05%, Time: 23.31s
